objectid,fire_year,discovery_doy,fire_size,latitude,longitude
1571086,2012,254,0.2,46.18916667,-89.25416667
1571087,2012,139,0.1,46.17722222,-88.8625
1571088,2012,140,0.1,46.35333333,-88.96
1571089,2012,174,0.1,46.47222222,-89.69888889
1571090,2012,283,29.0,46.36694444,-89.85194444
1571091,2012,145,0.1,46.46694444,-90.15027778
1571092,2012,207,0.2,46.64527778,-90.05055556
1571093,2012,145,0.1,46.27444444,-89.25611111
1571095,2012,278,0.5,46.25,-89.33333333
1571096,2012,140,0.1,46.2525,-89.40722222
1571185,2012,203,0.1,46.55805556,-86.65055556
1571186,2012,192,1.0,46.12222222,-86.56055556
1571187,2012,145,0.22,45.89694444,-86.80416667
1571188,2012,122,2.1,45.91305556,-86.90555556
1571189,2012,80,1.0,46.195,-85.01527778
1571190,2012,202,26.5,46.20638889,-86.65638889
1571191,2012,143,36.8,46.14611111,-86.7075
1571192,2012,117,0.1,45.92472222,-84.90833333
1571193,2012,185,0.2,46.32222222,-84.84166667
1571194,2012,149,0.1,45.42388889,-84.96416667
1571195,2012,227,0.1,46.60388889,-86.26722222
1571196,2012,241,0.1,46.09111111,-84.78694444
1571197,2012,120,0.1,46.20555556,-84.71833333
1571198,2012,160,0.01,45.99,-84.73944444
1571199,2012,136,0.3,46.14055556,-84.94611111
1571200,2012,129,0.1,46.34555556,-84.98611111
1571201,2012,204,0.1,45.98555556,-84.97194444
1571202,2012,163,0.25,46.47805556,-85.10555556
1571203,2012,241,0.01,46.19194444,-85.03166667
1571204,2012,115,0.2,46.19055556,-85.00527778
1571205,2012,115,0.11,46.34555556,-84.96722222
1571206,2012,192,0.01,46.47611111,-84.70277778
1571207,2012,232,0.1,46.22083333,-86.58694444
1571208,2012,135,2.0,46.45861111,-84.6125
1571209,2012,206,0.01,46.2975,-86.65916667
1571210,2012,80,36.0,46.1125,-86.48916667
1571211,2012,185,0.25,46.32222222,-84.84166667
1571212,2012,145,0.33,46.02416667,-87.01944444
1574314,2012,143,5.0,48.0088,-88.9434
1574315,2012,93,0.1,46.7814,-88.4978
1574316,2012,97,0.2,45.6719,-87.3306
1574317,2012,95,0.2,45.6708,-87.3281
1574318,2012,97,1.0,45.6733,-87.3336
1574319,2012,96,0.2,46.7403,-88.5028
1574320,2012,131,0.2,46.4589,-84.62
1574321,2012,136,0.1,46.4492,-84.5983
1574322,2012,140,0.2,46.7653,-88.3764
1574323,2012,155,0.2,46.7617,-88.445
1574324,2012,215,0.2,46.60425,-86.26778
1574325,2012,148,0.1,44.8589,-86.0408
1574326,2012,304,0.6,44.8528,-85.8561
1582679,2012,86,0.1,43.348,-83.884
1582777,2012,142,3400.0,46.2998,-85.9853
1582887,2012,190,0.1,46.2761,-85.9869
1583219,2012,134,125.0,44.395540999999994,-84.303446
1583276,2012,205,0.1,43.390128999999995,-84.01187900000001
1583277,2012,271,0.1,43.390128999999995,-84.01187900000001
1583278,2012,273,0.1,43.390128999999995,-84.01187900000001
1592611,2012,77,0.7,44.517972,-83.327056
1592612,2012,80,40.0,44.66902,-83.61565
1592613,2012,81,2.0,44.68911,-83.55239
1592614,2012,87,1.5,44.610490000000006,-83.60611
1592615,2012,93,3.0,44.8305,-83.60743000000001
1592616,2012,94,1.8,44.6496,-83.33835
1592617,2012,96,0.2,44.6085,-83.52375
1592618,2012,120,0.5,44.64306,-83.49533000000001
1592619,2012,136,0.1,44.602,-83.37629
1592620,2012,167,0.1,44.7635,-83.29614000000001
1592621,2012,181,1.0,44.548683000000004,-83.323667
1592622,2012,203,2.0,44.540420000000005,-83.314
1592623,2012,206,0.3,44.62022,-83.36476
1592624,2012,206,2.0,44.65809,-83.41801
1592625,2012,211,4.8,44.6953,-83.44412
1592626,2012,211,0.4,44.71247,-83.40209
1592627,2012,247,0.2,44.724736,-83.741589
1592630,2012,256,2.0,44.6414,-83.36849000000001
1592718,2012,214,10.0,46.59766,-86.23213
1592720,2012,256,2.4,46.55089,-86.18038
1592920,2012,67,8.2,42.68793,-86.20378000000001
1592921,2012,178,0.3,42.54298,-85.92824
1592922,2012,218,16.7,42.645179999999996,-85.89635
1592923,2012,234,0.1,42.55296,-85.97684
1592924,2012,282,0.1,42.526509999999995,-86.10173
1592925,2012,303,2.3,42.54905,-86.04344
1592926,2012,316,2.0,42.47607,-86.00963
1592927,2012,76,2.0,45.1544,-83.60436999999999
1592928,2012,77,1.3,44.88841,-83.64464
1592930,2012,81,0.1,45.08085,-83.51980999999999
1592932,2012,86,0.8,45.18241,-83.76436
1592933,2012,97,1.0,45.04323,-83.81363
1592934,2012,104,2.0,45.12172,-83.44117
1592936,2012,109,1.0,44.874629999999996,-83.52905
1592937,2012,109,0.2,44.894890000000004,-83.40454
1592938,2012,114,3.6,44.87129,-83.82851
1592939,2012,116,0.8,45.030359999999995,-83.68021
